k_concrete_W_m_K,L_concrete_m,DeltaT_K,q_cond_W_m2,q_required_W_m2,q_cond_over_q_required,Scenario_status,Source
2.0,0.2,8,80.0,30.81508819950782,2.5961308136472496,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
2.0,0.2,10,100.0,30.81508819950782,3.245163517059062,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
2.5,0.2,1,12.5,30.81508819950782,0.40564543963238275,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
2.5,0.2,2,25.0,30.81508819950782,0.8112908792647655,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
2.5,0.2,3,37.5,30.81508819950782,1.2169363188971483,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
2.5,0.2,5,62.5,30.81508819950782,2.0282271981619138,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
2.5,0.2,8,100.0,30.81508819950782,3.245163517059062,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
2.5,0.2,10,125.0,30.81508819950782,4.0564543963238275,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
1.0,0.25,1,4.0,30.81508819950782,0.1298065406823625,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
1.0,0.25,2,8.0,30.81508819950782,0.259613081364725,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
1.0,0.25,3,12.0,30.81508819950782,0.38941962204708747,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
1.0,0.25,5,20.0,30.81508819950782,0.6490327034118124,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
1.0,0.25,8,32.0,30.81508819950782,1.0384523254589,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
1.0,0.25,10,40.0,30.81508819950782,1.2980654068236248,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
1.5,0.25,1,6.0,30.81508819950782,0.19470981102354373,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
1.5,0.25,2,12.0,30.81508819950782,0.38941962204708747,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
1.5,0.25,3,18.0,30.81508819950782,0.5841294330706311,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
1.5,0.25,5,30.0,30.81508819950782,0.9735490551177186,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
1.5,0.25,8,48.0,30.81508819950782,1.5576784881883499,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
1.5,0.25,10,60.0,30.81508819950782,1.9470981102354372,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
2.0,0.25,1,8.0,30.81508819950782,0.259613081364725,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
2.0,0.25,2,16.0,30.81508819950782,0.51922616272945,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
2.0,0.25,3,24.0,30.81508819950782,0.7788392440941749,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
2.0,0.25,5,40.0,30.81508819950782,1.2980654068236248,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
2.0,0.25,8,64.0,30.81508819950782,2.0769046509178,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
2.0,0.25,10,80.0,30.81508819950782,2.5961308136472496,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
2.5,0.25,1,10.0,30.81508819950782,0.3245163517059062,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
2.5,0.25,2,20.0,30.81508819950782,0.6490327034118124,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
2.5,0.25,3,30.0,30.81508819950782,0.9735490551177186,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
2.5,0.25,5,50.0,30.81508819950782,1.622581758529531,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
2.5,0.25,8,80.0,30.81508819950782,2.5961308136472496,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
2.5,0.25,10,100.0,30.81508819950782,3.245163517059062,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
1.0,0.3,1,3.3333333333333335,30.81508819950782,0.10817211723530208,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
1.0,0.3,2,6.666666666666667,30.81508819950782,0.21634423447060416,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
1.0,0.3,3,10.0,30.81508819950782,0.3245163517059062,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
1.0,0.3,5,16.666666666666668,30.81508819950782,0.5408605861765104,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
1.0,0.3,8,26.666666666666668,30.81508819950782,0.8653769378824167,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
1.0,0.3,10,33.333333333333336,30.81508819950782,1.081721172353021,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
1.5,0.3,1,5.0,30.81508819950782,0.1622581758529531,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
1.5,0.3,2,10.0,30.81508819950782,0.3245163517059062,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
1.5,0.3,3,15.0,30.81508819950782,0.4867745275588593,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
1.5,0.3,5,25.0,30.81508819950782,0.8112908792647655,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
1.5,0.3,8,40.0,30.81508819950782,1.2980654068236248,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
1.5,0.3,10,50.0,30.81508819950782,1.622581758529531,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
2.0,0.3,1,6.666666666666667,30.81508819950782,0.21634423447060416,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
2.0,0.3,2,13.333333333333334,30.81508819950782,0.4326884689412083,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
2.0,0.3,3,20.0,30.81508819950782,0.6490327034118124,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
2.0,0.3,5,33.333333333333336,30.81508819950782,1.081721172353021,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
2.0,0.3,8,53.333333333333336,30.81508819950782,1.7307538757648333,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
2.0,0.3,10,66.66666666666667,30.81508819950782,2.163442344706042,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
2.5,0.3,1,8.333333333333334,30.81508819950782,0.2704302930882552,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
2.5,0.3,2,16.666666666666668,30.81508819950782,0.5408605861765104,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
2.5,0.3,3,25.0,30.81508819950782,0.8112908792647655,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
2.5,0.3,5,41.66666666666667,30.81508819950782,1.352151465441276,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
2.5,0.3,8,66.66666666666667,30.81508819950782,2.163442344706042,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
2.5,0.3,10,83.33333333333334,30.81508819950782,2.704302930882552,Assumption only; no site wall thickness or k measurement,https://doi.org/10.1016/S0008-8846(02)00965-1
